date,model_version,code,name,ticker,close,ver6_score,ver6_rank_number,ver6_rank_letter,ver6_signal,ver6_selected,quality_gate,rsi,return_1d,return_5d_past,return_20d_past,momentum_acceleration,ma25_distance,drawdown_60d_high,atr14,signal_id,signal_start_date,signal_start_price,signal_age,days_outside_gate,first_signal_return,previous_ver6_rank,rank_velocity,score_velocity,phase,action,ver7_entry,buy_zone_low,buy_zone_high,ver6_stop,ver6_take_profit,atr_stop,swing_stop
2026-08-19,7.0,8015,豊田通商,8015.T,6969.0,93.0,56,D,監視候補,False,False,53.0,-5.48,-3.26,7.15,-5.05,2.53,-6.58,246.39,,,,,0,,49.0,-7.0,-5.099999999999994,,SKIP,False,6760.0,7108.0,6411.0,8014.0,6599.4,6304.3
2026-08-19,7.0,7267,本田技研工業,7267.T,1662.0,93.2,55,D,監視候補,False,False,56.8,-2.98,-0.15,6.74,-1.84,3.01,-2.98,50.49,,,,,0,,62.0,7.0,-0.8999999999999915,,SKIP,False,1612.0,1695.0,1529.0,1911.0,1586.3,1523.3
2026-08-19,7.0,7912,大日本印刷,7912.T,3243.0,86.1,79,E,対象外,False,False,61.4,-1.94,-0.03,2.27,-0.6,3.8,-2.29,87.02,,,,,0,,85.0,6.0,-1.5,,SKIP,False,3146.0,3308.0,2984.0,3729.0,3112.5,2819.3
2026-08-19,7.0,5020,ENEOSホールディングス,5020.T,1277.0,84.0,85,E,対象外,False,False,47.8,-3.15,-0.35,-1.81,0.1,-1.54,-5.37,37.37,,,,,0,,61.0,-24.0,-10.200000000000005,,SKIP,False,1239.0,1303.0,1175.0,1469.0,1220.9,1258.7
2026-08-19,7.0,8591,オリックス,8591.T,6024.0,84.0,86,E,対象外,False,False,37.3,-4.31,-5.15,-7.35,-3.31,-6.1,-9.73,163.73,,,,,0,,21.0,-65.0,-20.5,,SKIP,False,5843.0,6144.0,5542.0,6928.0,5778.4,5993.9
2026-08-19,7.0,6988,日東電工,6988.T,3359.0,83.9,87,E,対象外,False,False,46.8,-3.03,-6.04,2.28,-6.61,-1.58,-6.09,98.93,,,,,0,,29.0,-58.0,-18.099999999999994,,SKIP,False,3258.0,3426.0,3090.0,3863.0,3210.6,3237.7
2026-08-19,7.0,1808,長谷工コーポレーション,1808.T,2766.5,82.9,88,E,対象外,False,False,49.1,-1.32,-0.09,-2.21,0.46,-0.54,-4.69,58.82,,,,,0,,100.0,12.0,-0.6999999999999886,,SKIP,False,2684.0,2822.0,2545.0,3181.0,2678.3,2619.3
2026-08-19,7.0,5711,三菱マテリアル,5711.T,5050.0,82.6,89,E,対象外,False,False,60.4,-3.74,-4.54,22.45,-10.15,12.27,-7.0,246.36,,,,,0,,94.0,5.0,-3.5,,SKIP,False,4898.0,5151.0,4646.0,5808.0,4680.5,3805.9
2026-08-19,7.0,6701,NEC,6701.T,4662.0,82.3,90,E,対象外,False,False,51.4,0.26,-5.11,5.79,-6.56,0.85,-9.79,192.57,,,,,0,,118.0,28.0,3.899999999999992,,SKIP,False,4522.0,4755.0,4289.0,5361.0,4373.2,4170.0
2026-08-19,7.0,1925,大和ハウス工業,1925.T,4572.0,81.3,91,E,対象外,False,False,48.5,-0.59,-0.82,-1.44,-0.46,-1.15,-6.86,81.47,,,,,0,,110.0,19.0,0.0,,SKIP,False,4435.0,4663.0,4206.0,5258.0,4449.8,4461.6
